City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,georgetown,5.4112,100.3354,29.96,79,20,4.12,MY,2024-01-07
1,bardai,11.65,7.2333,16.04,23,12,4.07,NG,2024-01-07
2,vilyuchinsk,52.9306,158.4028,-10.85,74,4,3.99,RU,2024-01-07
3,qaqortoq,60.7167,-46.0333,0.33,78,100,3.2,GL,2024-01-07
4,port-aux-francais,-49.35,70.2167,5.91,79,98,8.2,TF,2024-01-07
5,concepcion,-36.827,-73.0498,16.89,94,75,2.57,CL,2024-01-07
6,bethel,41.3712,-73.414,1.05,86,100,8.23,US,2024-01-07
7,tura,25.5198,90.2201,22.09,39,0,0.74,IN,2024-01-07
8,port alfred,-33.5906,26.891,18.43,93,21,3.0,ZA,2024-01-07
9,impfondo,1.6381,18.0667,22.3,81,82,0.94,CG,2024-01-07
10,san luis,-33.295,-66.3356,20.01,85,8,1.88,AR,2024-01-07
11,whitehorse,60.7161,-135.0538,-18.57,76,40,4.63,CA,2024-01-07
12,altai,46.3722,96.2583,-5.67,67,98,3.31,MN,2024-01-07
13,nemuro,43.3236,145.575,0.64,68,6,6.23,JP,2024-01-07
14,atafu village,-8.5421,-172.5159,29.2,69,100,3.8,TK,2024-01-07
15,shakawe,-18.3667,21.85,21.7,80,70,1.5,BW,2024-01-07
16,kailua-kona,19.6406,-155.9956,25.98,87,40,2.57,US,2024-01-07
17,weno,7.4515,151.8468,28.45,69,83,9.96,FM,2024-01-07
18,punta arenas,-53.15,-70.9167,10.06,71,0,6.69,CL,2024-01-07
19,siasi,5.5462,120.8145,27.76,74,98,0.83,PH,2024-01-07
20,dunedin,-45.8742,170.5036,12.67,91,75,1.79,NZ,2024-01-07
21,mejit,10.2753,170.8646,26.81,64,36,7.62,MH,2024-01-07
22,lerwick,60.1545,-1.1494,5.0,81,96,10.47,GB,2024-01-07
23,opuwo,-18.0607,13.84,22.13,69,99,1.1,NA,2024-01-07
24,bilibino,68.0546,166.4372,-34.65,100,100,0.86,RU,2024-01-07
25,stanley,54.868,-1.6985,2.06,96,75,1.54,GB,2024-01-07
26,makarov,48.6333,142.8,-11.3,86,100,3.06,RU,2024-01-07
27,talnakh,69.4865,88.3972,-22.11,97,100,4.48,RU,2024-01-07
28,maryville,35.7565,-83.9705,8.35,90,100,5.66,US,2024-01-07
29,porto murtinho,-21.6989,-57.8825,27.48,43,0,1.91,BR,2024-01-07
30,utrik,11.2278,169.8474,26.66,70,71,7.42,MH,2024-01-07
31,ushuaia,-54.8,-68.3,9.81,71,0,0.51,AR,2024-01-07
